ID,name,sex,type,job title,films,video,range,home
65,Ein weites Herz: Schicksalsjahre einer deutschen Familie,,2,,,,,
66,Einer bleibt sitzen,,2,,,,,
67,Empathie,,2,,,,,
68,Endstation Sehnsucht,,2,,,,,
69,Entfuehrt,,2,,,,,
70,Falco - Verdammt wir leben noch,,2,,,,,
71,Familie auf Bestellung,,2,,,,,
72,Fasten a la Carte,,2,,,,,
73,Fleisch ist mein Gemuese,,2,,,,,
74,Frau Temme sucht das Glueck,,2,,,,,
75,Frauen,,2,,,,,
76,Gleißende Glueck,,2,,,,,
77,Global Player - Wo wir sind isch vorne,,2,,,,,
78,Goethe,,2,,,,,
79,Goldene Zeiten,,2,,,,,
80,Gotthard,,2,,,,,
81,Groupies bleiben nicht zum Fruehstueck,,2,,,,,
82,Halt auf freier Strecke,,2,,,,,
83,Happy Burnout,,2,,,,,
84,Harms,,2,,,,,
85,Heil,,2,,,,,
86,Heimliche Liebe: Der Schueler und die Postbotin,,2,,,,,
87,Herbe Mischung,,2,,,,,
88,Herztoene,,2,,,,,
89,Hilde,,2,,,,,
90,Hin und Weg,,2,,,,,
91,Im Namen meines Sohnes,,2,,,,,
92,In Zeiten des abnehmenden Lichts,,2,,,,,
93,Inklusion: gemeinsam anders,,2,,,,,
94,Jedermann (Theater),,2,,,,,
95,Jerks,,2,,,,,
96,KDD - Kriminaldauerdienst,,2,,,,,
97,Klimt,,2,,,,,
98,Kommissar Rex,,2,,,,,
99,Kreuzweg,,2,,,,,
100,Kriminaldauerdienst,,2,,,,,
101a,"01 Ku'damm 59 (1/3), Nicki und Freddy machen Musik",,2,,,,,
101b,02 Ku'damm 63 (2/3),,2,,,,,
102,Kuckuckszeit,,2,,,,,
103,Kuehn hat zu tun,,2,,,,,
104,Lena Lorenz: Geschwisterliebe,,2,,,,,
105,Liebe Mauer,,2,,,,,
106,Liebe und Verrat,,2,,,,,
107,Little Thirteen,,2,,,,,
108,Louis van Beethoven,,2,,,,,
109,MA 2412: Die Staatsdiener,,2,,,,,
110,MA 2412: Parkpickerl,,2,,,,,
111,Mandy: Das Sozialdrama,,2,,,,,
112,Mann tut was Mann kann,,2,,,,,
113a,Maennerherzen,,2,,,,,
113b,Maennerherzen und die ganz ganz große Liebe,,2,,,,,
114,Maennertreu,,2,,,,,
115,Meeresleuchten,,2,,,,,
116,"Mein Vater, meine Frau und meine Geliebte",,2,,,,,
117,Milk & Honey,,2,,,,,
118,Mordkommission Berlin 1,,2,,,,,
119,München 72: Das Attentat,,2,,,,,
120,Mutig in die neuen Zeiten: im Reich der Reblaus,,2,,,,,
121,Nachtschicht: Vatertag,,2,,,,,
122,Nebenan,,2,,,,,
123,Neun Szenen,,2,,,,,
124,Nicht alle waren Moerder,,2,,,,,
125,Nichts ist vergessen,,2,,,,,
126,NOE,,2,,,,,
127,Nord Nord Mord: Cluever und die fremde Frau,,2,,,,,
128,Nordwand,,2,,,,,
129,Notruf Hafenkante: Weggesperrt,,2,,,,,
130,Nur eine Nacht,,2,,,,,
131,Olgas Sommer,,2,,,,,
132,Outside the Box,,2,,,,,
133,Parfum,,2,,,,,
134,Petting statt Pershing,,2,,,,,
135,Pinocchio,,2,,,,,
136a,Polizeiruf 110: Der Tod und das Maedchen,,2,,,,,
136b,Polizeiruf 110: Tod einer Toten,,2,,,,,
137,Prometheus (Theater),,2,,,,,
138,Quellen des Lebens,,2,,,,,
139,Reich oder tot,,2,,,,,
140,"Renn, wenn du kannst",,2,,,,,
141,Rommel,,2,,,,,
142,Rote Rosen,,2,,,,,
143,Russendisko,,2,,,,,
144,Schade um das schoene Geld,,2,,,,,
145,Schief gewickelt,,2,,,,,
146,Schlussmacher,,2,,,,,
147,Schneeweißchen und Rosenrot,,2,,,,,
148,Schoene heile Welt,,2,,,,,
149,Schutzengel,,2,,,,,
150,Schwaegereltern,,2,,,,,
151,SK Koelsch,,2,,,,,
152,Skylines,,2,,,,,
153,So gluecklich war ich noch nie,,2,,,,,
154,So viel Zeit,,2,,,,,
155,So weit das Meer,,2,,,,,
156,Sommer vorm Balkon,,2,,,,,
157,Sperling: Sperling und die kalte Angst,,2,,,,,
158,Spieltrieb,,2,,,,,
159a,Spreewaldkrimi: Das Laecheln der Schimaere,,2,,,,,
159b,Spreewaldkrimi: Toedliche Heimkehr,,2,,,,,
160,Stauffenberg,,2,,,,,
161,Stralsund: Blutige Faehrte,,2,,,,,
162,Tag und Nacht,,2,,,,,
163,Taking Sides: Der Fall Furtwaengler,,2,,,,,
164a,Tatort: Altlasten,,2,,,,,
164b,Tatort: Ausweglos,,2,,,,,
164c,Tatort: Das erste Opfer,,2,,,,,
164d,Tatort: Das ist unser Haus,,2,,,,,
164e,Tatort: Das Nest,,2,,,,,
164f,Tatort: Dein Name Sei Harbinger,,2,,,,,
164g,Tatort: Die dunkle Seite,,2,,,,,
164h,Tatort: Die Ferien des Monsieur Murot,,2,,,,,
164i,Tatort: Die harte Kern,,2,,,,,
164j,Tatort: Die Sonne stirbt wie ein Tier,,2,,,,,
164k,Tatort: Die Unsichtbare,,2,,,,,
164l,Tatort: Die Wahrheit stirbt zuerst,,2,,,,,
164m,Tatort: Ein Tag wie jeder andere,,2,,,,,
164n,Tatort: Fette Krieger,,2,,,,,
164o,Tatort: Feuerteufel,,2,,,,,
164p,Tatort: HAL,,2,,,,,
164q,Tatort: Heimwaerts,,2,,,,,
164r,Tatort: Im Abseits,,2,,,,,
164s,Tatort: In eigener Sache,,2,,,,,
164t,Tatort: Leiden wie ein Tier,,2,,,,,
164u,Tatort: Level X,,2,,,,,
164v,Tatort: Murot und das Murmeltier,,2,,,,,
164w,Tatort: Querschlaeger,,2,,,,,
164x,Tatort: Rhythm And Love,,2,,,,,
164y,Tatort: Schoen ist anders,,2,,,,,
164z,Tatort: Schwarzer Afghane,,2,,,,,
164aa,Tatort: Stau,,2,,,,,
164ab,Tatort: Todesschuetze,,2,,,,,
164ac,Tatort: Todesstrafe,,2,,,,,
164ad,Tatort: Tyrannenmord,,2,,,,,
164ae,Tatort: Unbestechlich,,2,,,,,
164af,Tatort: Vermisst,,2,,,,,
164ag,Tatort: Weg ins Paradies,,2,,,,,
164ah,Tatort: Wie einst Lilly,,2,,,,,
164ai,Tatort: Zorn Gottes,,2,,,,,
165,"Ternitz, Tennessee",,2,,,,,
166,the cut,,2,,,,,
167,The Girl in the Spider's web,,2,,,,,
168,Theresa Wolff: Der Thüringenkrimi,,2,,,,,
169,Toedliches Comeback,,2,,,,,
170,Tosca (Theater),,2,,,,,
171,"Unsere Muetter, Unsere Vaeter",,2,,,,,
172,Unsere Zeit ist jetzt,,2,,,,,
173a,Unter anderen Umständen: Boese Maedchen,,2,,,,,
173b,Unter anderen Umstaenden: Im finstern Tal,,2,,,,,
173c,Unter anderen Umstaenden: Spiel mit dem Feuer,,2,,,,,
174,Unter Frauen,,2,,,,,
175,Verbotene Liebe,,2,,,,,
176,Viel Laerm um nichts,,2,,,,,
177,Vier Minuten,,2,,,,,
178,Warten auf Angelina,,2,,,,,
179,Warum laeuft Herr V. Amok,,2,,,,,
180,Was hat und bloß so ruiniert,,2,,,,,
181,Was im Leben zaehlt,,2,,,,,
182,Weil wir Champions sind,,2,,,,,
183,Westwall,,2,,,,,
184,Willkommen zu Hause,,2,,,,,
185,Wilsberg: Todesengel,,2,,,,,
186,Wo ist Fred,,2,,,,,
187,Woyzeck,,2,,,,,
188,Z.E.R.V.,,2,,,,,
189,Zettl,,2,,,,,
190,Zimtstern und Halbmond,,2,,,,,
191,Zum Sterben zu früh,,2,,,,,
192,Zwei Leben,,2,,,,,
193,agentur factory,,3,,,,,
194,die agenten GmbH,,3,,,,,
195,fitz + skoglund agents,,3,,,,,
196,Homebase Agentur,,3,,,,,
197,Players Agentur Management GmbH,,3,,,,,
198,PUBLICS PR & Management,,3,,,,,
199,ZAV Berlin,,3,,,,,
200,Comedy Tour,,4,,,,,
201,Projekt: Changemakers,,4,,,,,
202,Projekt: Los fuer Lesbos,,4,,,,,
